split,lexical_weight,semantic_weight,behavioral_weight,impressions,hit_at_5,hit_at_10,mrr,mean_candidates,runtime_seconds
train,0.0,0.0,1.0,232887,0.655150351887396,0.8924070471945622,0.34857288455724406,11.103011331675877,259.92361070006154
train,0.0,0.02,0.98,232887,0.6604834104093401,0.8925358650332564,0.362296278519799,11.103011331675877,259.92361070006154
train,0.0,0.04,0.96,232887,0.6602901836512987,0.8924757500418657,0.3622515659953163,11.103011331675877,259.92361070006154
train,0.0,0.06,0.94,232887,0.6601570718846479,0.8925788043128212,0.36216724762864705,11.103011331675877,259.92361070006154
train,0.0,0.08,0.92,232887,0.6600067844061712,0.8924929257536917,0.3620464958425553,11.103011331675877,259.92361070006154
train,0.0,0.1,0.9,232887,0.6597749122965215,0.8924156350504752,0.3619318540041365,11.103011331675877,259.92361070006154
train,0.0,0.12,0.88,232887,0.6594743373395681,0.8922868172117808,0.36180441028616833,11.103011331675877,259.92361070006154
train,0.0,0.14,0.86,232887,0.6592939923653961,0.8922739354279113,0.36167756960094904,11.103011331675877,259.92361070006154
train,0.0,0.16,0.84,232887,0.6591823502385277,0.8921880568687819,0.3615097509357295,11.103011331675877,259.92361070006154
train,0.0,0.18,0.82,232887,0.6588259542181402,0.8922095265085642,0.36135635797723964,11.103011331675877,259.92361070006154
train,0.0,0.2,0.8,232887,0.6585897881805339,0.892261053644042,0.3611040514970837,11.103011331675877,259.92361070006154
train,0.02,0.08,0.9,232887,0.6586327274600987,0.8920807086698699,0.3609360344244891,11.103011331675877,259.92361070006154
train,0.02,0.1,0.88,232887,0.6585940821084904,0.8919819483268709,0.3608349019179806,11.103011331675877,259.92361070006154
train,0.02,0.12,0.86,232887,0.6584223249902313,0.8919046576236543,0.360751048387162,11.103011331675877,259.92361070006154
train,0.05,0.05,0.9,232887,0.6577481783010645,0.8915310858914409,0.35892197564443407,11.103011331675877,259.92361070006154
train,0.05,0.1,0.85,232887,0.6575678333268924,0.8914151498366161,0.35961700598982327,11.103011331675877,259.92361070006154
train,0.05,0.15,0.8,232887,0.6569838591248116,0.8915997887387446,0.3597829945645069,11.103011331675877,259.92361070006154
validation,0.0,0.0,1.0,244647,0.6324091446042666,0.86886820602746,0.33934434362731664,11.972114924769157,258.5737552999053
validation,0.0,0.02,0.98,244647,0.6403675499801755,0.8706585406728878,0.3546051257606542,11.972114924769157,258.5737552999053
validation,0.0,0.04,0.96,244647,0.6402367492754867,0.8705808777544789,0.35454558492664134,11.972114924769157,258.5737552999053
validation,0.0,0.06,0.94,244647,0.6400528107845181,0.8704623396158547,0.3544516501246868,11.972114924769157,258.5737552999053
validation,0.0,0.08,0.92,244647,0.6397258090227961,0.8702538759927569,0.35433904006457845,11.972114924769157,258.5737552999053
validation,0.0,0.1,0.9,244647,0.6394151573491602,0.8702089132505202,0.3543232747702952,11.972114924769157,258.5737552999053
validation,0.0,0.12,0.88,244647,0.6387448037376301,0.8701639505082833,0.35417282927180965,11.972114924769157,258.5737552999053
validation,0.0,0.14,0.86,244647,0.638385101799736,0.8700331498035946,0.3540511253967279,11.972114924769157,258.5737552999053
validation,0.0,0.16,0.84,244647,0.6381643756105736,0.8699718369732717,0.3540303351041697,11.972114924769157,258.5737552999053
validation,0.0,0.18,0.82,244647,0.6378741615470453,0.8699309617530564,0.35389450982431137,11.972114924769157,258.5737552999053
validation,0.0,0.2,0.8,244647,0.6377351857983135,0.8698246861804968,0.35374871338655184,11.972114924769157,258.5737552999053
validation,0.02,0.08,0.9,244647,0.6378782490690669,0.8697143230859157,0.3526699924661453,11.972114924769157,258.5737552999053
validation,0.02,0.1,0.88,244647,0.6378005861506579,0.8695467346830331,0.3527952621191997,11.972114924769157,258.5737552999053
validation,0.02,0.12,0.86,244647,0.6374081840365915,0.8695835223812268,0.35286136026754544,11.972114924769157,258.5737552999053
validation,0.05,0.05,0.9,244647,0.6356341994792497,0.8687128801906421,0.3496435802431771,11.972114924769157,258.5737552999053
validation,0.05,0.1,0.85,244647,0.6357609126619169,0.8688477684173523,0.3509688709545056,11.972114924769157,258.5737552999053
validation,0.05,0.15,0.8,244647,0.6353194602835923,0.8689172562917182,0.35127323679119354,11.972114924769157,258.5737552999053
